geneid,gene_symbol,uniprotid,gene_dsi,gene_dpi,gene_pli,protein_class,protein_class_name,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei,el,year_initial,year_final,source
64127,NOD2,Q9HC29,0.423,0.923,1.9834e-30,DTO_05007624,Enzyme,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,1.0,0.937,moderate,1998.0,2019.0,ALL
149233,IL23R,Q5VWK5,0.466,0.769,0.00055961,DTO_05007599,Signaling,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.7,0.982,,2006.0,2020.0,ALL
64127,NOD2,Q9HC29,0.423,0.923,1.9834e-30,DTO_05007624,Enzyme,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.7,0.909,,1998.0,2019.0,ALL
149233,IL23R,Q5VWK5,0.466,0.769,0.00055961,DTO_05007599,Signaling,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.7,0.95,,2006.0,2020.0,ALL
3123,HLA-DRB1,P01911,0.333,0.923,0.0010997,DTO_05007608,Immune response,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.7,0.88,,1994.0,2019.0,ALL
345611,IRGM,A1A4Y4,0.617,0.538,,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.7,0.939,,2007.0,2020.0,ALL
3586,IL10,P22301,0.281,0.923,0.0058874,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.7,0.962,strong,1996.0,2020.0,ALL
55054,ATG16L1,Q676U5,0.543,0.769,0.96452,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.7,0.953,,2001.0,2020.0,ALL
5771,PTPN2,P17706,0.538,0.692,0.99953,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.68,1.0,,2008.0,2016.0,ALL
6364,CCL20,P78556,0.474,0.846,0.00024242,DTO_05007599,Signaling,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.64,1.0,,2004.0,2017.0,ALL
7297,TYK2,P29597,0.505,0.769,4.4963e-08,DTO_03300101,Kinase,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.62,0.8,,2010.0,2016.0,ALL
3383,ICAM1,P05362,0.364,0.962,0.035295,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.6,0.929,,1995.0,2018.0,ALL
3553,IL1B,P01584,0.276,0.962,0.13005,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.6,0.959,,1992.0,2020.0,ALL
7124,TNF,P01375,0.231,0.962,0.8033,DTO_05007599,Signaling,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.6,0.971,,1996.0,2020.0,ALL
3593,IL12B,P29460,0.48,0.885,0.00011439,DTO_05007599,Signaling,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.6,1.0,,2004.0,2018.0,ALL
3663,IRF5,Q13568,0.489,0.731,0.0090365,DTO_05007542,Transcription factor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.57,1.0,,2007.0,2019.0,ALL
7124,TNF,P01375,0.231,0.962,0.8033,DTO_05007599,Signaling,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.51,1.0,,2000.0,2017.0,ALL
2212,FCGR2A,P12318,0.48,0.769,2.0054e-06,DTO_05007620,Cell adhesion,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,1.0,,2009.0,2019.0,ALL
3123,HLA-DRB1,P01911,0.333,0.923,0.0010997,DTO_05007608,Immune response,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,0.885,,1993.0,2019.0,ALL
3586,IL10,P22301,0.281,0.923,0.0058874,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,0.968,,1995.0,2020.0,ALL
6774,STAT3,P40763,0.32,0.923,1.0,DTO_05007557,Nucleic acid binding,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,1.0,,2008.0,2018.0,ALL
9966,TNFSF15,O95150,0.531,0.692,0.0028159,DTO_05007599,Signaling,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,0.96,,2004.0,2019.0,ALL
120892,LRRK2,Q5S007,0.51,0.808,2.5757e-30,DTO_03300101,Kinase,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,1.0,,2008.0,2019.0,ALL
2524,FUT2,Q10981,0.552,0.731,5.3218e-14,DTO_05007624,Enzyme,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,1.0,,2010.0,2020.0,ALL
3717,JAK2,O60674,0.385,0.885,0.65372,DTO_03300101,Kinase,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,1.0,,2008.0,2018.0,ALL
4485,MST1,P26927,0.465,0.885,4.7831e-19,DTO_05007624,Enzyme,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,1.0,,2008.0,2018.0,ALL
5771,PTPN2,P17706,0.538,0.692,0.99953,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,1.0,,2007.0,2018.0,ALL
6583,SLC22A4,Q9H015,0.603,0.769,1.8253e-08,DTO_05007405,Transporter,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,0.896,,2003.0,2017.0,ALL
6774,STAT3,P40763,0.32,0.923,1.0,DTO_05007557,Nucleic acid binding,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,0.969,strong,2008.0,2019.0,ALL
7099,TLR4,O00206,0.321,0.962,4.6131e-09,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.5,0.94,,2004.0,2019.0,ALL
4485,MST1,P26927,0.465,0.885,4.7831e-19,DTO_05007624,Enzyme,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.47,1.0,,2008.0,2017.0,ALL
3559,IL2RA,P01589,0.389,0.885,0.054709,DTO_05007575,Receptor,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.46,1.0,,1999.0,2018.0,ALL
345611,IRGM,A1A4Y4,0.617,0.538,,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.45,0.875,,2009.0,2016.0,ALL
4689,NCF4,Q15080,0.644,0.615,9.0248e-08,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.45,0.714,,2007.0,2017.0,ALL
60468,BACH2,Q9BYV9,0.539,0.731,0.99803,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.44,1.0,,2010.0,2018.0,ALL
64170,CARD9,Q9H257,0.566,0.654,8.1491e-13,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.43,1.0,,2008.0,2017.0,ALL
219771,CCNY,Q8ND76,0.711,0.269,0.80672,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.43,1.0,,2008.0,2011.0,ALL
4088,SMAD3,P84022,0.415,0.923,0.79796,DTO_05007542,Transcription factor,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.43,1.0,,2010.0,2019.0,ALL
219771,CCNY,Q8ND76,0.711,0.269,0.80672,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.42,1.0,,2008.0,2011.0,ALL
3575,IL7R,P16871,0.487,0.769,3.763e-07,DTO_05007575,Receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.42,1.0,,2011.0,2016.0,ALL
400935,IL17REL,Q6ZVW7,0.861,0.192,0.0018916,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.42,1.0,,2010.0,2018.0,ALL
64167,ERAP2,Q6P179,0.615,0.577,1.0028e-28,DTO_05007624,Enzyme,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.42,1.0,,2010.0,2017.0,ALL
113,ADCY7,P51828,0.656,0.462,9.4815e-07,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.41,1.0,,2015.0,2017.0,ALL
2768,GNA12,Q03113,0.547,0.769,0.96994,DTO_05007584,Enzyme modulator,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.41,1.0,,2011.0,2017.0,ALL
1001,CDH3,P22223,0.56,0.615,2.7988e-10,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2009.0,2011.0,ALL
10747,MASP2,O00187,0.582,0.692,3.0428e-14,DTO_05007624,Enzyme,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2003.0,2003.0,ALL
159296,NKX2-3,Q8TAU0,0.716,0.231,0.95047,DTO_05007542,Transcription factor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2008.0,2014.0,ALL
1611,DAP,P51397,0.53,0.808,0.0035018,DTO_05007584,Enzyme modulator,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2011.0,2016.0,ALL
3576,CXCL8,P10145,0.31,0.962,0.00027377,DTO_05007599,Signaling,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,1994.0,2020.0,ALL
3593,IL12B,P29460,0.48,0.885,0.00011439,DTO_05007599,Signaling,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2007.0,2018.0,ALL
4318,MMP9,P14780,0.305,0.923,1.8869e-17,DTO_05007624,Enzyme,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2012.0,2018.0,ALL
4353,MPO,P05164,0.377,0.923,7.105e-15,DTO_05007624,Enzyme,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2010.0,2019.0,ALL
5243,ABCB1,P08183,0.344,0.885,1.2564e-05,DTO_05007405,Transporter,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,0.921,,1992.0,2018.0,ALL
639,PRDM1,O75626,0.538,0.731,0.9565,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2011.0,2016.0,ALL
8477,GPR65,Q8IYL9,0.653,0.5,0.1114,DTO_02300001,G-protein coupled receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2015.0,2019.0,ALL
114548,NLRP3,Q96P20,0.361,0.962,0.00081103,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2002.0,2018.0,ALL
1401,CRP,P02741,0.299,0.962,0.0036969,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,0.989,,2001.0,2020.0,ALL
159296,NKX2-3,Q8TAU0,0.716,0.231,0.95047,DTO_05007542,Transcription factor,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,0.944,,2007.0,2019.0,ALL
163486,DENND1B,Q6P3S1,0.716,0.308,0.20408,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2010.0,2017.0,ALL
1788,DNMT3A,Q9Y6K1,0.445,0.846,7.3538e-39,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2010.0,2016.0,ALL
3458,IFNG,P01579,0.288,0.962,0.47156,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,0.93,,1993.0,2020.0,ALL
3569,IL6,P05231,0.248,0.962,0.31536,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,0.976,,1992.0,2019.0,ALL
5468,PPARG,P37231,0.358,0.885,0.029194,DTO_00102000,Nuclear receptor,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,1.0,,2005.0,2017.0,ALL
6556,SLC11A1,P49279,0.525,0.846,1.5485e-19,DTO_05007405,Transporter,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,0.75,,1997.0,2019.0,ALL
