Gene_set;Term;Overlap;P-value;Adjusted P-value;Old P-value;Old Adjusted P-value;Odds Ratio;Combined Score;Genes
ARCHS4_Tissues;ILEUM (BULK);162/2316;5,09E-67;5,50E-65;0;0;8,237256267;1257,377911;"SH2D7;TRAC;RORC;GIMAP7;AQP1;KRTCAP3;IL4I1;LGALS2;TCL1A;BEST4;HPGDS;AKR7A3;DMBT1;SIT1;CREB3L1;TRBC2;TRBC1;CHP2;MS4A12;CD177;EPHB3;CPA3;HES6;RNF43;ANXA13;CYBB;UGT2B17;CMBL;OLFM4;RNASE1;FOXP3;SDCBP2;AZGP1;MAF;CD8B;CD8A;SCNN1A;CES2;CFTR;COL17A1;KLK1;MAOB;KLRB1;HHLA2;SMIM6;RAP1GAP;CD79B;CD79A;MYH14;CLCA1;TNFRSF17;IGFBP7;STXBP6;APOE;CD14;PI3;TRPM5;ICOS;CLCA4;PRPH;AFAP1L2;FYB1;REG4;RARRES2;BMX;FERMT1;SULT1B1;SLC6A8;FEV;PPP1R1B;LCN2;SLC26A3;SERPINA1;MS4A8;HEPACAM2;HRCT1;CLEC9A;CD3E;CD3D;FCRLA;UCN3;CA4;MUC12;CA7;CTLA4;UGT2A3;CCR7;CTSG;CTSE;GALNT8;BCAS1;FCRL1;NXPE4;HTR3E;PAX5;ANO7;IL17RB;ADRA2A;FCER2;CEACAM1;TMIGD1;CEACAM7;BANK1;CEACAM6;B3GNT6;CEACAM5;CHI3L2;XCL2;IRF8;TFF1;CDHR5;LTB;GPRC5C;DNASE1L3;MS4A1;C1QB;PTGER4;C1QA;RETNLB;ADH1C;REP15;HDC;DERL3;ITLN1;CXCR5;KRT86;ASCL2;EGFR;SELENBP1;FRZB;SPOCK2;GNA11;TIGIT;DUOX2;ATOH1;SPDEF;CHGA;IL32;CDKN2B;GALNT5;CMA1;CCL20;GZMA;AKR1C3;TMEM61;GUCA2B;GCG;OTOP2;PDZK1IP1;LYVE1;GUCA2A;CD2;GZMK;FABP2;SMOC2;MLPH;CD5;CD7;S100P;LGR5;FOXA3;C1QC"
ARCHS4_Tissues;COLON (BULK TISSUE);146/2316;4,52E-53;2,44E-51;0;0;6,69294093;806,6871628;"SH2D7;AQP8;RORC;BEST2;AQP1;KRTCAP3;LGALS2;BEST4;AKR7A3;DMBT1;CREB3L1;CHP2;MS4A12;CD177;EPHB3;CPA3;HES6;RNF43;ANXA13;CYBB;UGT2B17;OLFM4;RNASE1;SDCBP2;AZGP1;SLPI;SCNN1A;CES2;CFTR;COL17A1;SLC26A2;KLK1;MAOB;KLRB1;HHLA2;SMIM6;RAP1GAP;CD79B;CD79A;SOCS3;MYH14;CLCA1;TNFRSF17;STXBP6;CD14;PI3;TRPM5;CLCA4;PRPH;AFAP1L2;REG4;RARRES2;BMX;FERMT1;SULT1B1;SLC6A8;FEV;PPP1R1B;LCN2;L1TD1;CD24;SLC26A3;IL22;SERPINA1;MS4A8;HEPACAM2;HRCT1;CD3E;CXCL3;MSLN;AREG;WFDC2;FCRLA;CA1;UCN3;CA2;CA4;FFAR4;MUC12;CA7;CTLA4;UGT2A3;CTSG;CTSE;INSL5;GALNT8;BCAS1;NXPE4;LEFTY1;HTR3E;ANO7;ADRA2A;CEACAM1;TMIGD1;CEACAM7;CEACAM6;B3GNT6;CEACAM5;IRF8;TFF1;CDHR5;RHOV;GPRC5C;DNASE1L3;MS4A1;C1QB;PTGER4;C1QA;RETNLB;ADH1C;REP15;HDC;DERL3;ITLN1;ASCL2;EGFR;SELENBP1;FRZB;GNA11;DUOX2;ATOH1;SPDEF;CHGA;IL32;CDKN2B;GALNT5;CMA1;CCL20;GZMA;AKR1C3;TMEM61;GUCA2B;GCG;OTOP2;PDZK1IP1;LYVE1;GUCA2A;GZMK;FABP2;SMOC2;MLPH;CD7;S100P;LGR5;FOXA3;C1QC"
ARCHS4_Tissues;SMALL INTESTINE (BULK TISSUE);120/2316;1,67E-33;6,02E-32;0;0;4,729210626;356,9200615;"SH2D7;AQP8;RORC;MKI67;AQP1;KRTCAP3;SCGN;LGALS2;HPGDS;AKR7A3;DMBT1;DPYSL3;CHP2;CD177;EPHB3;RNF43;ANXA13;CYBB;UGT2B17;ANK2;OLFM4;RNASE1;SDCBP2;GPRIN3;AZGP1;MAF;RFX6;SCG2;CES2;CFTR;CES1;COL17A1;SLC26A2;MAOB;HHLA2;SMIM6;RAP1GAP;SOCS3;S100A12;MYH14;CLCA1;STXBP6;CD14;PI3;TRPM5;CLCA4;PRPH;AFAP1L2;CD163;FZD7;REG4;RARRES2;BMX;FERMT1;SULT1B1;SLC6A8;FEV;PPP1R1B;LCN2;SLC26A3;SERPINA1;MS4A8;HEPACAM2;TNFAIP3;CXCL3;UCN3;CA4;MUC12;CA7;UGT2A3;CTSE;GALNT8;BCAS1;HTR3E;PROX1;ANO7;RGMB;CEACAM1;TMIGD1;CEACAM7;CEACAM6;CEACAM5;IRF8;TFF1;CDHR5;DNASE1L3;C1QB;PTGER4;C1QA;RETNLB;ADH1C;REP15;ITLN1;THBS1;EGFR;SELENBP1;IL1RL1;ALDH1B1;FRZB;GNA11;DUOX2;ATOH1;SPDEF;CHGA;SLC12A2;CDKN2B;GALNT5;CCL20;AKR1C3;GUCA2B;GCG;OTOP2;LYVE1;GUCA2A;FABP2;SMOC2;S100P;LGR5;FOXA3;C1QC"
ARCHS4_Tissues;GASTRIC TISSUE (BULK);101/2316;9,79E-22;2,64E-20;0;0;3,603082643;174,3016868;"RORC;MKI67;AQP1;KRTCAP3;LGALS2;AKR7A3;DMBT1;CREB3L1;DPYSL3;CD177;EPHB3;CPA3;CYBB;OLFM4;ISL1;RNASE1;SDCBP2;AZGP1;SLPI;SCNN1A;AGTR1;CFTR;CES1;COL17A1;KLK1;MAOB;SMIM6;RAP1GAP;CD79A;SOCS3;MYH14;CLCA1;TNFRSF17;IGFBP7;STXBP6;PI3;PRPH;AFAP1L2;REG4;RARRES2;BMX;ARHGAP24;FERMT1;PPP1R1B;LCN2;CD24;SERPINA1;MS4A8;HEPACAM2;HRCT1;CXCL3;MSLN;WFDC2;CA2;TIMP3;UGT2A3;CTSE;BCAS1;NXPE4;ANO7;RGMB;ADRA2A;CEACAM7;CEACAM6;B3GNT6;CEACAM5;KIT;IRF8;TFF1;CDHR5;RHOV;GPRC5C;C1QB;C1QA;ADH1C;REP15;HDC;DERL3;ITLN1;ASCL2;EGFR;SELENBP1;FRZB;DUOX2;SPDEF;CHGA;SLC12A2;GALNT5;CMA1;CCL20;AKR1C3;TMEM61;PDZK1IP1;LYVE1;MEIS2;SMOC2;MLPH;S100P;LGR5;FOXA3;C1QC"
ARCHS4_Tissues;SPLEEN (BULK TISSUE);93/2316;1,84E-17;3,97E-16;0;0;3,188804224;122,8801475;"SERPINA1;PLXND1;MS4A7;TRAC;TNFAIP3;LRMP;CD3E;CD3D;GIMAP7;ETS1;AQP1;FCRLA;TCL1A;CA1;SIT1;PSTPIP2;TRBC2;TRBC1;TIMP3;CCR7;CD177;FCRL1;TRGV4;CYBB;MCEMP1;PAX5;PROX1;OLFM4;RNASE1;ADRA2A;GPRIN3;FCER2;MAF;CD8B;BANK1;CD8A;AGTR1;CHI3L2;XCL2;IRF8;LTB;DNASE1L3;MS4A1;CES1;C1QB;C1QA;KLK1;KLRB1;REP15;DERL3;LEF1;CXCR5;CXCR4;CST7;KRT86;COL19A1;LILRA4;CD79B;SELENBP1;CD79A;FRZB;SPOCK2;CCL4;S100A12;TNFRSF17;IGFBP7;APOE;CD14;TRPM5;TIGIT;PRPH;IL32;AFAP1L2;CD163;FYB1;KLRC2;TRAT1;RARRES2;GZMA;TRDV1;NKG7;BMX;LYVE1;ARHGAP24;BATF;CD2;GZMK;CD6;CD5;CD7;LCN2;S100P;C1QC"
ARCHS4_Tissues;LUNG (BULK TISSUE);85/2316;1,29E-13;2,32E-12;0;0;2,80473459;83,24045407;"SERPINA1;CD83;PLXND1;MS4A8;MS4A7;RORC;TNFAIP3;HRCT1;CXCL3;MSLN;AREG;WFDC2;AQP1;HPGDS;DMBT1;CREB3L1;DPYSL3;CA4;TIMP3;CTSE;SLC18A2;EPHB3;CPA3;CYBB;MCEMP1;ETV1;RNASE1;AZGP1;MT1A;SLPI;BANK1;CEACAM6;CEACAM5;KIT;SCNN1A;AGTR1;CHI3L2;IRF8;GPRC5C;CFTR;CES1;C1QB;PTGER4;C1QA;ADH1C;MAOB;KLRB1;HDC;ITLN1;GATA2;KRT86;THBS1;EGFR;RAP1GAP;SELENBP1;SOCS3;IL1RL1;FRZB;SPOCK2;MYH14;IGFBP7;STXBP6;APOE;CD14;SPDEF;PRPH;AFAP1L2;CDKN2B;CD163;GALNT5;CMA1;CCL20;RARRES2;PDZK1IP1;BMX;LYVE1;ARHGAP24;SMOC2;MLPH;PPP1R1B;LCN2;IL7R;LGR5;CDK15;C1QC"
ARCHS4_Tissues;PERIPHERAL BLOOD;79/2316;5,04E-11;6,80E-10;0;0;2,534697962;60,10228167;"FCN1;SERPINA1;MS4A7;TRAC;RORC;LRMP;CLEC9A;CD3E;CD3D;GIMAP7;FCRLA;LGALS2;TCL1A;GNLY;SIT1;TRBC2;TRBC1;CA4;CTLA4;CCR7;CD177;FCRL1;TRGV4;KRT1;CYBB;MCEMP1;PAX5;FOXP3;FCER2;SLPI;CD8B;BANK1;CD8A;IL1B;CHI3L2;XCL2;IRF8;LTB;MS4A1;CES1;PTGER4;KLRB1;HDC;LEF1;CXCR5;CXCR4;CST7;ASCL2;LILRA4;CD79B;CD79A;SPOCK2;CCL4;S100A12;TNFRSF17;CD14;PI3;ICOS;TIGIT;FYB1;KLRC2;TRAT1;GZMA;TRDV1;NKG7;PDZK1IP1;BMX;BATF;CD2;GZMK;CD40LG;CD6;SELL;CD5;GPR183;CD7;LCN2;S100P;IL7R"
ARCHS4_Tissues;THYMUS (BULK TISSUE);79/2316;5,04E-11;6,80E-10;0;0;2,534697962;60,10228167;"ITK;SH2D7;PLXND1;TRAC;RORC;TNFAIP3;CD3G;LRMP;CLEC9A;CD3E;MKI67;CD3D;ETS1;AQP1;IL4I1;TCL1A;DMBT1;SIT1;TRBC2;TRBC1;PBK;CTLA4;CCR7;CTSG;SLC18A2;CD177;TRGV4;KRT1;CYBB;UGT2B17;OLFM4;ISL1;RNASE1;FOXP3;FCER2;SLPI;CD8B;CD8A;CHI3L2;IRF8;RHOV;LTB;MS4A1;C1QB;PTGER4;COL17A1;C1QA;KLRB1;REP15;LEF1;CDCA7;CXCR4;KRT86;COL19A1;LILRA4;EGFR;CD79A;SOCS3;SPOCK2;PI3;TRPM5;ICOS;IL32;AFAP1L2;FYB1;RRM2;UBE2C;TRAT1;TRDV1;TMEM61;LYVE1;CD2;SMOC2;CD40LG;CD6;CD5;CD7;IL7R;C1QC"
ARCHS4_Tissues;CD4+ T CELL;72/2316;2,46E-08;2,96E-07;0;0;2,237518717;39,19818698;"ITK;IL22;IFITM1;TRAC;RORC;TNFAIP3;CD3G;RORA;LRMP;CD3E;AREG;CD3D;GIMAP7;ETS1;KRTCAP3;IL4I1;GNLY;SIT1;TRBC2;TRBC1;CTLA4;CCR7;TRGV4;RNF43;FOXP3;GPRIN3;AZGP1;SELENOM;MAF;TBC1D4;CHI3L2;XCL2;TFF1;TNFRSF25;LTB;MS4A1;C1QB;PTGER4;KLRB1;RGS13;LEF1;CXCR5;CXCR4;CST7;CD79B;SPOCK2;CCL5;LEPROTL1;CCL4;ICOS;TIGIT;IL32;FYB1;CCL20;TRAT1;GZMA;TRDV1;NKG7;PDZK1IP1;BATF;CD2;GZMK;FABP2;CD40LG;CD6;SELL;CD5;GPR183;ID2;CD7;IL7R;SLC26A3"
ARCHS4_Tissues;COLONIC MUCOSA;70/2316;1,24E-07;1,33E-06;0;0;2,155931533;34,29406083;"AQP8;MS4A8;HEPACAM2;HRCT1;WFDC2;LGALS2;CA1;CA2;CA4;FFAR4;CHP2;MUC12;CA7;UGT2A3;MS4A12;CTSE;INSL5;CD177;BCAS1;NXPE4;LEFTY1;HTR3E;PDE4C;ANXA13;UGT2B17;ANO7;OLFM4;SDCBP2;CEACAM1;TMIGD1;CEACAM7;CEACAM6;B3GNT6;CEACAM5;SCNN1A;TFF1;CDHR5;MS4A2;PLPP2;DNASE1L3;CFTR;COL17A1;ADH1C;KLK1;HHLA2;REP15;ITLN1;SELENBP1;CLCA1;TNFRSF17;DUOX2;ATOH1;CLCA4;SPDEF;GALNT5;CCL20;REG4;GUCA2B;GCG;OTOP2;PDZK1IP1;GUCA2A;SULT1B1;FABP2;PPP1R1B;LCN2;S100P;SLC26A3;CDK15;FOXA3"
