Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
CES3	"ES31, FLJ21736"	ENSG00000172828	"Carboxylesterase 3"	Q6UWW8	16	66961245-66975149	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 37.1;liver: 51.2;skeletal muscle: 23.9"	"Group enriched"	"Detected in many"	5	"Distal enterocytes: 106.8;Enteroendocrine cells: 31.6;Hepatocytes: 43.0;Intestinal goblet cells: 27.9;Paneth cells: 74.2;Proximal enterocytes: 63.1;Undifferentiated cells: 26.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells (progenitors), Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA041008, HPA041307"	Approved		Approved	"Nuclear membrane,Endoplasmic reticulum"	"Intracellular and membrane"	Enzyme	NA	NA		1200000	"Cluster 19: Eosinophils - Unknown function"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 37: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 5: Enterocytes - Absorption"		"Nuclear membrane, Endoplasmic reticulum"		"HPA041008: AB_2677247, HPA041307: AB_2677400"	"unprognostic (3.91e-3)"	"unprognostic (1.22e-1)"	"unprognostic (1.94e-2)"	"unprognostic (8.99e-3)"	"unprognostic (9.32e-2)"	"unprognostic (7.84e-4)"	"prognostic favorable (7.26e-5)"	"unprognostic (5.67e-3)"	"unprognostic (1.52e-1)"	"unprognostic (2.17e-1)"	"unprognostic (6.43e-2)"	"unprognostic (1.84e-2)"	"unprognostic (1.19e-2)"	"unprognostic (2.18e-2)"	"unprognostic (2.75e-1)"	"unprognostic (3.31e-2)"	"unprognostic (7.41e-2)"
MACC1	"7A5, SH3BP4L"	ENSG00000183742	"MET transcriptional regulator MACC1"	Q6ZN28	7	20134655-20217404	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Activator, Growth factor, Mitogen"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 11.4"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 114.7;Club cells: 62.7;Exocrine glandular cells: 63.1;Glandular and luminal cells: 64.7;Ionocytes: 76.9;Mucus glandular cells: 144.0;Salivary duct cells: 87.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Liver - Cholangiocyte, Pancreas - Ductal cells, Prostate - Urothelial cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA020081, HPA020103, HPA029476, CAB068194"	Supported		Approved	Mitochondria			NA	NA				"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 48: Non-specific - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"		Mitochondria		"CAB068194: AB_2665682, HPA020081: AB_1844386, HPA020103: AB_1844387, HPA029476: AB_10610136"	"unprognostic (1.59e-2)"	"unprognostic (1.88e-1)"	"unprognostic (3.43e-2)"	"prognostic unfavorable (1.56e-5)"	"unprognostic (2.26e-1)"	"unprognostic (1.42e-2)"	"unprognostic (7.01e-2)"	"unprognostic (2.52e-2)"	"unprognostic (2.05e-1)"	"unprognostic (2.43e-2)"	"unprognostic (2.43e-3)"	"unprognostic (1.03e-1)"	"prognostic favorable (5.71e-9)"	"unprognostic (4.49e-2)"	"unprognostic (2.91e-1)"	"unprognostic (1.78e-1)"	"unprognostic (6.93e-3)"
MLH1	"COCA2, FCC2, HNPCC, HNPCC2, MLH-1"	ENSG00000076242	"MutL homolog 1"	P40692	3	36993350-37050846	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, DNA damage, DNA repair"		"Cancer-related genes, Disease variant, Hereditary nonpolyposis colorectal cancer, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013294, HPA052707, HPA060714, CAB070868"	Supported		Enhanced	Nucleoplasm			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 55: Non-specific - Transcription"	"Cluster 8: Non-specific - Basic cellular processes"	"Cluster 39: Non-specific - Basic cellular processes"	54	Nucleoplasm		"CAB013294: AB_2533406, CAB070868: , HPA052707: AB_2681923, HPA060714: AB_2684348"	"unprognostic (1.26e-2)"	"unprognostic (3.88e-3)"	"unprognostic (2.36e-2)"	"unprognostic (1.82e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.05e-1)"	"prognostic unfavorable (8.24e-5)"	"unprognostic (3.36e-2)"	"unprognostic (2.18e-1)"	"unprognostic (1.32e-1)"	"unprognostic (8.54e-2)"	"unprognostic (8.63e-3)"	"unprognostic (2.10e-3)"	"unprognostic (4.37e-2)"	"unprognostic (1.38e-1)"	"unprognostic (1.02e-2)"	"unprognostic (8.86e-2)"
MS4A12	"FLJ20217, Ms4a10"	ENSG00000071203	"Membrane spanning 4-domains A12"	Q9NXJ0	11	60492778-60507430	"Predicted membrane proteins"		Receptor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	23	"intestine: 246.1"	"Cell type enriched"	"Detected in some"	15	"Distal enterocytes: 928.6"	"Cancer enriched"	"Detected in some"	8	"colorectal cancer: 6.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA048616, HPA057657"	Enhanced		Approved	"Nucleoli,Endoplasmic reticulum,Golgi apparatus,Plasma membrane,Cytosol"			NA	NA				"Cluster 45: Intestine - Digestion"		"Cluster 55: Lymphoma - Immune response"	"Cluster 5: Enterocytes - Absorption"	2	"Plasma membrane, Cytosol"	"Nucleoli, Endoplasmic reticulum, Golgi apparatus"	"HPA048616: , HPA057657: AB_2683491"			"unprognostic (2.64e-2)"						"unprognostic (2.33e-1)"			"unprognostic (1.49e-1)"		"unprognostic (3.26e-1)"	"unprognostic (2.83e-1)"	"unprognostic (9.20e-3)"	
GPA33	A33	ENSG00000143167	"Glycoprotein A33"	Q99795	1	167052836-167166479	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"intestine: 208.9"	"Group enriched"	"Detected in some"	4	"Distal enterocytes: 598.6;Intestinal goblet cells: 239.1;Paneth cells: 363.5;Proximal enterocytes: 220.5"	"Cancer enriched"	"Detected in many"	6	"colorectal cancer: 84.0"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in many"		"naive CD4 T-cell: 24.3;T-reg: 19.6"	"Lineage enriched"	"Detected in many"	6	"T-cells: 24.3"	"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 34.1;colorectal cancer: 100.5"	"Colon - Colon enterocytes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA018858, CAB025943"	Enhanced						NA	NA			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 45: Intestine - Digestion"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"	7			"CAB025943: , HPA018858: AB_1849909"	"unprognostic (2.41e-2)"	"unprognostic (1.71e-3)"	"unprognostic (1.08e-2)"	"unprognostic (1.16e-1)"	"unprognostic (2.06e-1)"	"unprognostic (8.39e-4)"	"unprognostic (1.55e-1)"	"unprognostic (8.34e-2)"	"unprognostic (1.00e-2)"	"unprognostic (9.63e-2)"	"unprognostic (2.10e-2)"	"unprognostic (9.44e-2)"	"unprognostic (6.75e-2)"	"unprognostic (5.22e-3)"	"unprognostic (3.13e-1)"	"unprognostic (9.68e-3)"	"unprognostic (2.96e-3)"
LGALS4	GAL4	ENSG00000171747	"Galectin 4"	P56470	19	38801671-38812945	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	10	"intestine: 1271.4"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 11586.4;Enteroendocrine cells: 3400.6;Intestinal goblet cells: 5852.5;Paneth cells: 4816.3;Proximal enterocytes: 4964.5;Undifferentiated cells: 2802.8"	"Group enriched"	"Detected in many"	21	"colorectal cancer: 450.7;liver cancer: 133.6;pancreatic cancer: 213.7;stomach cancer: 190.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 304.6;Gastric cancer: 203.9"	"Colon - Colon enterocytes, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			"CAB025653, HPA031184, HPA031185, HPA031186"	Enhanced		Uncertain	"Plasma membrane"			NA	NA		200000		"Cluster 45: Intestine - Digestion"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"	6	"Plasma membrane"		"CAB025653: , HPA031184: AB_2673776, HPA031185: AB_2673777, HPA031186: AB_2673778"	"unprognostic (1.11e-1)"	"unprognostic (1.12e-1)"	"unprognostic (2.57e-3)"	"unprognostic (7.88e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.61e-2)"	"unprognostic (5.01e-2)"	"unprognostic (5.34e-2)"	"unprognostic (1.54e-1)"	"unprognostic (7.58e-2)"	"unprognostic (3.80e-2)"	"unprognostic (1.48e-2)"	"prognostic unfavorable (2.28e-4)"	"unprognostic (1.69e-1)"	"unprognostic (3.38e-1)"	"unprognostic (9.71e-2)"	"prognostic favorable (3.21e-4)"
C15orf48	"COXFA4L3, MIR147BHG, MISTRAV, MOCCI, NMES1"	ENSG00000166920	"Chromosome 15 open reading frame 48"	Q9C002	15	45430579-45448761	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"intestine: 893.3"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 4361.0;Enteroendocrine cells: 1468.6;Exocrine glandular cells: 2025.4;Intestinal goblet cells: 1372.4;Langerhans cells: 2561.4;Paneth cells: 2158.2;Proximal enterocytes: 3050.5;Undifferentiated cells: 1467.5"	"Low cancer specificity"	"Detected in all"			"Region enhanced"	"Detected in some"		"cerebral cortex: 6.3"	"Immune cell enhanced"	"Detected in some"		"classical monocyte: 1.3;intermediate monocyte: 1.6;myeloid DC: 1.3"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 606.0"	"Colon - Colon enterocytes, Stomach - Gastric mucous cells, Testis - Early spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA012943	Enhanced						NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 45: Intestine - Digestion"	"Cluster 12: Non-specific - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	1			"HPA012943: AB_2668774"	"unprognostic (5.29e-3)"	"unprognostic (1.76e-1)"	"unprognostic (2.08e-1)"	"unprognostic (7.83e-2)"	"unprognostic (1.17e-1)"	"unprognostic (9.74e-3)"	"unprognostic (1.48e-3)"	"unprognostic (1.28e-3)"	"unprognostic (1.59e-1)"	"unprognostic (1.15e-1)"	"unprognostic (4.93e-3)"	"unprognostic (5.95e-2)"	"unprognostic (8.86e-2)"	"unprognostic (2.37e-1)"	"unprognostic (6.51e-2)"	"unprognostic (1.39e-1)"	"unprognostic (3.66e-1)"
CA12	HsT18816	ENSG00000074410	"Carbonic anhydrase 12"	O43570	15	63321378-63381846	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins"		Lyase	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 149.3;kidney: 280.0;skin 1: 138.4"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 145.6;Basal squamous epithelial cells: 124.3;Distal enterocytes: 349.5;Intestinal goblet cells: 117.1;Paneth cells: 129.7;Squamous epithelial cells: 182.1;Suprabasal keratinocytes: 192.1"	"Cancer enhanced"	"Detected in all"		"renal cancer: 109.3"	"Group enriched"	"Detected in all"	5	"basal ganglia: 92.5;choroid plexus: 274.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 208.5"	"Skin - Keratinocyte (other), Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008773, CAB025181, CAB062549, CAB068179, HPA073203"	Enhanced						NA	NA		52000		"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 5: Enterocytes - Absorption"				"CAB025181: , CAB062549: AB_2665617, CAB068179: AB_2665616, HPA008773: AB_1078394, HPA073203: AB_2686580"	"unprognostic (2.01e-1)"	"unprognostic (8.38e-3)"	"unprognostic (3.47e-1)"	"unprognostic (3.25e-3)"	"unprognostic (2.73e-2)"	"unprognostic (2.47e-2)"	"unprognostic (7.48e-2)"	"unprognostic (3.43e-3)"	"unprognostic (2.29e-1)"	"unprognostic (4.67e-2)"	"prognostic unfavorable (3.80e-6)"	"unprognostic (2.59e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.38e-1)"	"unprognostic (6.56e-2)"	"unprognostic (7.26e-2)"	"unprognostic (1.21e-1)"
MSH6	"GTBP, MSH-6"	ENSG00000116062	"MutS homolog 6"	P52701	2	47695530-47810063	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"DNA damage, DNA repair, Host-virus interaction"	DNA-binding	"Cancer-related genes, Disease variant, Hereditary nonpolyposis colorectal cancer"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Granulosa cells: 92.7"	"Cancer enhanced"	"Detected in all"		"testis cancer: 31.8"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB009091, HPA028376, HPA028446, CAB070870"	Enhanced		Supported	"Nucleoplasm,Golgi apparatus,Vesicles"			NA	Yes		15000	"Cluster 33: Non-specific - ATP binding"	"Cluster 16: Non-specific - Transcription"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 52: Non-specific - Cell proliferation"	3	Nucleoplasm	"Golgi apparatus, Vesicles"	"CAB009091: AB_670083, CAB070870: AB_2144959, HPA028376: AB_10598909, HPA028446: AB_10602182"	"unprognostic (5.10e-2)"	"unprognostic (5.87e-3)"	"unprognostic (3.29e-2)"	"prognostic unfavorable (1.34e-4)"	"unprognostic (1.98e-1)"	"unprognostic (3.09e-2)"	"prognostic unfavorable (7.86e-4)"	"unprognostic (1.79e-1)"	"unprognostic (2.35e-3)"	"unprognostic (1.01e-1)"	"unprognostic (1.74e-3)"	"unprognostic (8.99e-2)"	"prognostic unfavorable (1.06e-7)"	"unprognostic (1.22e-1)"	"unprognostic (2.31e-1)"	"unprognostic (9.68e-2)"	"unprognostic (3.48e-2)"
MUC4		ENSG00000145113	"Mucin 4, cell surface associated"	Q99102	3	195746765-195811973	"Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 18.6;intestine: 30.3;prostate: 14.4;vagina: 14.6"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 85.3;Ciliated cells: 204.0;Club cells: 215.4;Distal enterocytes: 188.3;Gastric mucus-secreting cells: 144.4;Intestinal goblet cells: 131.1;Ionocytes: 305.6;Salivary duct cells: 110.2"	"Cancer enhanced"	"Detected in many"		"cervical cancer: 16.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bladder cancer: 3.4;head and neck cancer: 4.1;pancreatic cancer: 3.1"	"Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Prostate - Urothelial cells, Testis - Late spermatids"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	18	"basal ganglia: 5.4"	"HPA005895, CAB013536"	Approved				"Secreted in other tissues"	"Cell adhesion"	NA	NA				"Cluster 75: Epithelium - Extracellular exosomes"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 35: Respiratory epithelial cells - Unknown function"				"CAB013536: , HPA005895: AB_1079427"	"unprognostic (4.16e-3)"	"unprognostic (1.00e-2)"	"unprognostic (6.79e-2)"	"unprognostic (1.11e-2)"	"unprognostic (3.03e-2)"	"unprognostic (5.16e-2)"	"unprognostic (5.49e-2)"	"unprognostic (2.74e-1)"	"unprognostic (3.19e-1)"	"unprognostic (4.22e-3)"	"unprognostic (6.68e-3)"	"unprognostic (5.30e-2)"	"unprognostic (2.43e-3)"	"unprognostic (3.19e-1)"	"unprognostic (6.78e-2)"	"unprognostic (3.46e-3)"	"unprognostic (9.97e-3)"
