riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2249296-C	1E-6	"(Ileal involvement)"	0.78	1.69	-	[1.35-2.13]	CLCA2	"Crohn's disease-related phenotypes"	"ileocolitis,Crohn's disease"	-	GCST002729	1:86444581	25557950	"Alonso A"
rs9868898-G	2E-6	"(Perianal disease)"	0.16	1.49	-	[1.26-1.76]	PHLDB2,PLCXD2	"Crohn's disease-related phenotypes"	"perianal Crohn's disease"	-	GCST002729	3:111762099	25557950	"Alonso A"
rs2187668-?	2E-11	-	0.126	2.06	-	[1.67-2.55]	HLA-DQA1	"Collagenous colitis"	"collagenous colitis"	-	GCST005879	6:32638107	26525574	"Westerlind H"
rs2844531-G	2E-32	-	0.119	2.0	-	[1.8-2.2]	HLA-S,MICA	"Collagenous colitis"	"collagenous colitis"	-	GCST90204145	6:31385394	37768647	"Zheng T"
rs9271366-C	2E-70	"(UC vs. CD)"	0.21	4.44	-	[3.74-5.27]	HLA-DQA1,HLA-DRB1	"Ulcerative colitis or Crohn's disease"	"ulcerative colitis,Crohn's disease"	-	GCST001118	6:32619077	21699788	"Okada Y"
rs2006996-T	4E-13	"(UC vs. CD)"	0.47	1.67	-	[1.47-1.92]	DELEC1,TNFSF15	"Ulcerative colitis or Crohn's disease"	"ulcerative colitis,Crohn's disease"	-	GCST001118	9:114830358	21699788	"Okada Y"
rs6426833-?	3E-18	-	NR	-	"0.053 unit decrease"	NR	RNF186-AS1,OTUD3	"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))"	"ulcerative colitis,Crohn's disease"	-	GCST90016611	1:19845367	33686288	"Peyrot WJ"
rs1977160-?	1E-17	-	NR	-	"0.052 unit decrease"	NR	C1orf141,IL23R	"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))"	"ulcerative colitis,Crohn's disease"	-	GCST90016611	1:67202253	33686288	"Peyrot WJ"
rs2476601-?	3E-9	-	NR	-	"0.036 unit increase"	NR	PTPN22	"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))"	"ulcerative colitis,Crohn's disease"	-	GCST90016611	1:113834946	33686288	"Peyrot WJ"
rs6704109-?	6E-6	-	NR	-	"0.027 unit increase"	NR	AIMP1P2,TNFSF18	"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))"	"ulcerative colitis,Crohn's disease"	-	GCST90016611	1:172887910	33686288	"Peyrot WJ"
rs3792108-?	4E-17	-	NR	-	"0.051 unit increase"	NR	ATG16L1	"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))"	"ulcerative colitis,Crohn's disease"	-	GCST90016611	2:233276306	33686288	"Peyrot WJ"
rs4957294-?	8E-13	-	NR	-	"0.043 unit increase"	NR	RNU1-150P,TTC33	"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))"	"ulcerative colitis,Crohn's disease"	-	GCST90016611	5:40446447	33686288	"Peyrot WJ"
rs77150043-?	5E-6	-	NR	-	"0.028 unit increase"	NR	ADCY7	"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))"	"ulcerative colitis,Crohn's disease"	-	GCST90016611	16:50270338	33686288	"Peyrot WJ"
rs2076756-?	5E-29	-	NR	-	"0.068 unit increase"	NR	NOD2	"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))"	"ulcerative colitis,Crohn's disease"	-	GCST90016611	16:50722970	33686288	"Peyrot WJ"
rs885026-?	8E-10	-	NR	0.78	-	-	NCOR2	"Crohn's disease vs ulcerative colitis"	"ulcerative colitis,Crohn's disease"	-	GCST90179177	12:124548243	36164742	"Jung S"
rs9842650-?	8E-10	-	NR	1.29	-	-	CD200	"Crohn's disease vs ulcerative colitis"	"ulcerative colitis,Crohn's disease"	-	GCST90179177	3:112350545	36164742	"Jung S"
rs12543811-?	2E-7	-	NR	0.82	-	[0.76-0.88]	RNU6-1213P,RPL13AP18	"Crohn's disease vs ulcerative colitis"	"ulcerative colitis,Crohn's disease"	-	GCST90179177	8:80366650	36164742	"Jung S"
chr20:2374455-?	3E-6	-	NR	-	"4.6E-4 unit decrease"	[0.00027-0.00065]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr1:102300829-?	1E-6	-	NR	-	"3.9E-4 unit decrease"	[0.00023-0.00055]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr1:211852006-?	7E-6	-	NR	-	"4.83E-4 unit increase"	[0.00027-0.00069]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr2:29002900-?	5E-6	-	NR	-	"8.8E-4 unit decrease"	[0.0005-0.00126]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr2:44211546-?	4E-6	-	NR	-	"3.1E-4 unit decrease"	[0.00018-0.00044]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr3:21580556-?	8E-6	-	NR	-	"9.0E-4 unit decrease"	[0.00051-0.00129]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr4:24338324-?	1E-6	-	NR	-	"3.8E-4 unit decrease"	[0.00023-0.00053]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr4:108478191-?	3E-7	-	NR	-	"4.48E-4 unit increase"	[0.00028-0.00062]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr5:6222490-?	5E-6	-	NR	-	"9.3E-4 unit decrease"	[0.00053-0.00133]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr5:24256226-?	4E-6	-	NR	-	"6.6E-4 unit decrease"	[0.00038-0.00094]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr6:31355318-?	3E-8	-	NR	-	"4.2E-4 unit decrease"	[0.00027-0.00057]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr6:65350792-?	3E-6	-	NR	-	"4.15E-4 unit increase"	[0.00024-0.00059]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr6:104003704-?	8E-6	-	NR	-	"5.7E-4 unit decrease"	[0.00032-0.00082]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr6:106000790-?	9E-8	-	NR	-	"8.2E-4 unit decrease"	[0.00052-0.00112]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr7:25573204-?	1E-6	-	NR	-	"3.9E-4 unit decrease"	[0.00023-0.00055]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr7:47391321-?	2E-6	-	NR	-	"9.2E-4 unit decrease"	[0.00055-0.00129]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr8:12517525-?	5E-7	-	NR	-	"9.7E-4 unit decrease"	[0.00059-0.00135]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr11:11931183-?	3E-6	-	NR	-	"7.1E-4 unit decrease"	[0.00041-0.00101]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr11:105858586-?	2E-6	-	NR	-	"5.5E-4 unit decrease"	[0.00032-0.00078]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr13:54703907-?	3E-7	-	NR	-	"0.00107 unit decrease"	[0.00066-0.00148]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr14:41804188-?	6E-6	-	NR	-	"3.0E-4 unit decrease"	[0.00017-0.00043]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr15:64768700-?	3E-7	-	NR	-	"0.00102 unit decrease"	[0.00063-0.00141]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr16:26117039-?	1E-6	-	NR	-	"4.8E-4 unit decrease"	[0.00029-0.00067]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
chr17:6571439-?	6E-7	-	NR	-	"8.8E-4 unit decrease"	[0.00054-0.00122]	-	"Microscopic colitis"	"microscopic colitis"	-	GCST009081	-	31125052	"Green HD"
rs9267445-C	4E-39	-	0.12	1.8	-	[1.7-2.0]	PPIAP9,MICB	"Microscopic colitis"	"microscopic colitis"	-	GCST90204144	6:31515704	37768647	"Zheng T"
rs35099084-C	2E-8	-	0.808	1.3	-	[1.2-1.4]	CLEC16A	"Microscopic colitis"	"microscopic colitis"	-	GCST90204144	16:11095760	37768647	"Zheng T"
rs9953918-?	4E-8	-	NR	0.99	-	0.98-1.00	NEDD4L	"Acute appendicitis"	appendicitis	-	GCST90013428	18:58338413	34319380	"Gaitanidis A"
rs2129979-G	2E-23	-	0.31	1.12	-	1.09-1.14	MIR297,LINC01438	Appendicitis	appendicitis	-	GCST007595	4:110799841	30392061	"Orlova E"
rs34920465-?	3E-13	"(subset analysis)"	NR	-	-	-	PPIAP34,ZBTB40	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:22373858	26974007	"Ellinghaus D"
rs12131796-?	5E-41	"(subset analysis)"	NR	-	-	-	INAVA	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:200909599	26974007	"Ellinghaus D"
rs6697886-?	2E-10	"(subset analysis)"	NR	-	-	-	B3GALT6,C1QTNF12	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:1238231	26974007	"Ellinghaus D"
rs12075255-?	3E-11	"(subset analysis)"	NR	-	-	-	IL19	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:206788283	26974007	"Ellinghaus D"
rs3766606-?	9E-14	"(subset analysis)"	NR	-	-	-	PARK7	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:7962137	26974007	"Ellinghaus D"
rs13407913-?	3E-18	"(subset analysis)"	NR	-	-	-	ADCY3	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:24874775	26974007	"Ellinghaus D"
rs3806308-?	1E-24	"(subset analysis)"	NR	-	-	-	RNF186-AS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:19816373	26974007	"Ellinghaus D"
rs1260326-?	2E-23	"(subset analysis)"	NR	-	-	-	GCKR	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:27508073	26974007	"Ellinghaus D"
